Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 0.767122, 0.794842, 0.025961, 68.3483, 2.60728e-07, 73.6909, 4.37972, 156.141, 0.9275, 0.875468, 0.731514, 0.0410375
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 0.767122, 0.795122, 0.0258527, 66.5517, 2.56439e-07, 71.8943, 4.37972, 152.548, 0.925688, 0.872534, 0.731514, 0.0420042
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 0.767122, 0.795411, 0.0257444, 64.7229, 2.51937e-07, 70.0655, 4.37972, 148.89, 0.923748, 0.869403, 0.731514, 0.043036
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 0.767122, 0.795723, 0.0256363, 62.9721, 2.47649e-07, 68.3147, 4.37972, 145.389, 0.921794, 0.866258, 0.731514, 0.0440725
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 0.767122, 0.796047, 0.0255282, 61.2439, 2.43361e-07, 66.5865, 4.37972, 141.932, 0.919765, 0.863001, 0.731514, 0.0451458
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 0.767122, 0.796382, 0.0254202, 59.5915, 2.39288e-07, 64.9341, 4.37972, 138.628, 0.917723, 0.859735, 0.731514, 0.0462221
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 0.767122, 0.796743, 0.0253124, 58.0131, 2.35428e-07, 63.3557, 4.37972, 135.471, 0.915673, 0.856466, 0.731514, 0.0472991
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 0.767122, 0.797146, 0.0252046, 56.4551, 2.31569e-07, 61.7978, 4.37972, 132.355, 0.913547, 0.853087, 0.731514, 0.0484127
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 0.767122, 0.797564, 0.0250969, 54.9175, 2.2771e-07, 60.2601, 4.37972, 129.28, 0.911341, 0.849592, 0.731514, 0.0495643
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 0.767122, 0.797999, 0.0249893, 53.4002, 2.23852e-07, 58.7428, 4.37972, 126.245, 0.909051, 0.845977, 0.731514, 0.0507557
0.9, 0.00097048, 1.4406e-06, 0.0005705, 8.0262e-09, 1400.34, 3374.81, 0.767122, 0.798465, 0.0248818, 51.9535, 2.20208e-07, 57.2961, 4.37972, 123.352, 0.906755, 0.842364, 0.731514, 0.0519462
