Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 1.91286, 1.71413, 0.173592, 2187.15, 2.60728e-07, 2408.15, 92.9617, 5002.23, 0.908225, 0.874468, 0.919039, 0.0341589, 2
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 1.91286, 1.71453, 0.173186, 2129.66, 2.56439e-07, 2350.66, 92.9617, 4887.25, 0.905981, 0.871515, 0.919039, 0.0349626, 2
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 1.91286, 1.71495, 0.172781, 2071.13, 2.51937e-07, 2292.14, 92.9617, 4770.21, 0.90358, 0.868362, 0.919039, 0.0358204, 2
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 1.91286, 1.71541, 0.172375, 2015.11, 2.47649e-07, 2236.12, 92.9617, 4658.15, 0.901164, 0.865196, 0.919039, 0.0366821, 2
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 1.91286, 1.71589, 0.17197, 1959.81, 2.43361e-07, 2180.81, 92.9617, 4547.55, 0.898658, 0.861917, 0.919039, 0.0375742, 2
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 1.91286, 1.71639, 0.171565, 1906.93, 2.39288e-07, 2127.94, 92.9617, 4441.79, 0.89614, 0.858629, 0.919039, 0.0384689, 2
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 1.91286, 1.71693, 0.17116, 1856.42, 2.35428e-07, 2077.43, 92.9617, 4340.78, 0.893615, 0.85534, 0.919039, 0.0393641, 2
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 1.91286, 1.71755, 0.170755, 1806.56, 2.31569e-07, 2027.57, 92.9617, 4241.07, 0.890999, 0.851938, 0.919039, 0.0402896, 2
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 1.91286, 1.71819, 0.17035, 1757.36, 2.2771e-07, 1978.37, 92.9617, 4142.66, 0.888288, 0.848421, 0.919039, 0.0412466, 2
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 1.91286, 1.71887, 0.169946, 1708.8, 2.23852e-07, 1929.81, 92.9617, 4045.55, 0.885477, 0.844783, 0.919039, 0.0422367, 2
