Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 0.927015, 0.901757, 0.0604969, 136.697, 2.60728e-07, 156.078, 10.874, 667.808, 0.875823, 0.818778, 0.589264, 0.0383802
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 0.927015, 0.902422, 0.060293, 133.103, 2.56439e-07, 152.485, 10.874, 653.435, 0.872896, 0.814792, 0.589264, 0.0392244
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 0.927015, 0.903108, 0.0600892, 129.446, 2.51937e-07, 148.827, 10.874, 638.805, 0.869773, 0.81055, 0.589264, 0.0401228
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 0.927015, 0.90384, 0.0598855, 125.944, 2.47649e-07, 145.326, 10.874, 624.798, 0.866635, 0.806303, 0.589264, 0.0410222
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 0.927015, 0.904596, 0.0596818, 122.488, 2.43361e-07, 141.869, 10.874, 610.973, 0.863386, 0.80192, 0.589264, 0.0419505
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 0.927015, 0.905377, 0.0594783, 119.183, 2.39288e-07, 138.564, 10.874, 597.753, 0.860127, 0.79754, 0.589264, 0.0428782
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 0.927015, 0.90621, 0.0592749, 116.026, 2.35428e-07, 135.408, 10.874, 585.127, 0.856867, 0.793171, 0.589264, 0.0438035
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 0.927015, 0.907126, 0.0590715, 112.91, 2.31569e-07, 132.292, 10.874, 572.663, 0.853495, 0.788669, 0.589264, 0.0447569
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 0.927015, 0.908074, 0.0588682, 109.835, 2.2771e-07, 129.216, 10.874, 560.361, 0.850008, 0.78403, 0.589264, 0.0457394
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 0.927015, 0.909056, 0.0586651, 106.8, 2.23852e-07, 126.182, 10.874, 548.223, 0.846401, 0.779248, 0.589264, 0.0467522
0.9, 0.00097048, 1.4406e-06, 0.0005705, 8.0262e-09, 1400.34, 3374.81, 0.927015, 0.910104, 0.058462, 103.907, 2.20208e-07, 123.288, 10.874, 536.65, 0.842797, 0.774487, 0.589264, 0.0477604
0.89, 0.0009534, 1.4168e-06, 0.00056014, 7.7854e-09, 1409.59, 3397.1, 0.927015, 0.911219, 0.058259, 101.052, 2.16564e-07, 120.434, 10.874, 525.23, 0.83907, 0.769584, 0.589264, 0.0487988
0.88, 0.00093632, 1.39384e-06, 0.00054992, 7.5516e-09, 1419.17, 3420.21, 0.927015, 0.912379, 0.0580562, 98.2948, 2.13048e-07, 117.676, 10.874, 514.201, 0.835299, 0.764642, 0.589264, 0.0498456
0.87, 0.0009191, 1.37088e-06, 0.00053942, 7.3234e-09, 1429.33, 3444.69, 0.927015, 0.913614, 0.0578534, 95.5744, 2.09533e-07, 114.956, 10.874, 503.319, 0.831402, 0.759553, 0.589264, 0.0509232
0.86, 0.00090188, 1.3482e-06, 0.00052892, 7.1036e-09, 1439.88, 3470.11, 0.927015, 0.9149, 0.0576507, 92.9104, 2.06061e-07, 112.292, 10.874, 492.663, 0.827402, 0.754353, 0.589264, 0.0520246
0.85, 0.00088466, 1.32636e-06, 0.00051842, 6.888e-09, 1450.84, 3496.52, 0.927015, 0.916239, 0.0574481, 90.34, 2.02717e-07, 109.721, 10.874, 482.381, 0.823358, 0.749117, 0.589264, 0.0531335
0.84, 0.0008673, 1.30466e-06, 0.00050778, 6.6794e-09, 1462.47, 3524.55, 0.927015, 0.917668, 0.0572456, 87.8142, 1.99396e-07, 107.196, 10.874, 472.278, 0.819196, 0.74375, 0.589264, 0.0542702
0.83, 0.00084994, 1.28296e-06, 0.000497, 6.475e-09, 1474.57, 3553.72, 0.927015, 0.919158, 0.0570432, 85.3233, 1.96074e-07, 104.705, 10.874, 462.315, 0.814895, 0.738227, 0.589264, 0.0554397
0.82, 0.00083244, 1.26168e-06, 0.00048608, 6.2776e-09, 1487.43, 3584.72, 0.927015, 0.92075, 0.0568409, 82.895, 1.92817e-07, 102.276, 10.874, 452.602, 0.8105, 0.732609, 0.589264, 0.0566295
0.81, 0.00081494, 1.24082e-06, 0.0004753, 6.0858e-09, 1500.85, 3617.04, 0.927015, 0.922414, 0.0566386, 80.5282, 1.89624e-07, 99.9096, 10.874, 443.134, 0.806011, 0.726897, 0.589264, 0.0578394
0.8, 0.00079744, 1.21982e-06, 0.00046424, 5.8982e-09, 1514.85, 3650.78, 0.927015, 0.924156, 0.0564365, 78.186, 1.8641e-07, 97.5674, 10.874, 433.766, 0.801354, 0.720998, 0.589264, 0.0590886
0.79, 0.00077994, 1.19952e-06, 0.00045318, 5.7176e-09, 1529.48, 3686.04, 0.927015, 0.92598, 0.0562345, 75.9219, 1.83303e-07, 95.3033, 10.874, 424.709, 0.796635, 0.715049, 0.589264, 0.0603486
0.78, 0.0007623, 1.17936e-06, 0.00044212, 5.5398e-09, 1545.06, 3723.6, 0.927015, 0.927933, 0.0560325, 73.6992, 1.80218e-07, 93.0805, 10.874, 415.818, 0.791779, 0.708956, 0.589264, 0.061639
0.77, 0.0007448, 1.15934e-06, 0.00043092, 5.369e-09, 1561.09, 3762.23, 0.927015, 0.929942, 0.0558307, 71.5176, 1.77154e-07, 90.8989, 10.874, 407.092, 0.786781, 0.702717, 0.589264, 0.0629603
0.76, 0.00072716, 1.13946e-06, 0.00041958, 5.2024e-09, 1578.19, 3803.45, 0.927015, 0.932096, 0.0556289, 69.3767, 1.74113e-07, 88.7581, 10.874, 398.528, 0.781638, 0.696329, 0.589264, 0.0643132
0.75, 0.00070952, 1.12e-06, 0.00040824, 5.04e-09, 1596.15, 3846.72, 0.927015, 0.934363, 0.0554273, 67.293, 1.71135e-07, 86.6744, 10.874, 390.193, 0.776389, 0.689842, 0.589264, 0.0656869
0.74, 0.00069188, 1.10026e-06, 0.0003969, 4.8818e-09, 1615.02, 3892.2, 0.927015, 0.936752, 0.0552257, 65.2241, 1.68115e-07, 84.6054, 10.874, 381.918, 0.770921, 0.683122, 0.589264, 0.0671103
0.73, 0.00067438, 1.0815e-06, 0.00038542, 4.7278e-09, 1634.54, 3939.24, 0.927015, 0.939224, 0.0550242, 63.2441, 1.65245e-07, 82.6254, 10.874, 373.998, 0.765431, 0.676411, 0.589264, 0.0685315
0.72, 0.00065674, 1.06232e-06, 0.0003738, 4.5794e-09, 1655.45, 3989.63, 0.927015, 0.941886, 0.0548229, 61.2701, 1.6231e-07, 80.6515, 10.874, 366.102, 0.75969, 0.669432, 0.589264, 0.0700095
0.71, 0.00063924, 1.04384e-06, 0.00036232, 4.4352e-09, 1677.15, 4041.93, 0.927015, 0.94465, 0.0546216, 59.3668, 1.59483e-07, 78.7481, 10.874, 358.489, 0.753882, 0.662412, 0.589264, 0.0714963
0.7, 0.00062174, 1.02522e-06, 0.0003507, 4.2938e-09, 1700.07, 4097.16, 0.928561, 0.947578, 0.0544204, 57.4853, 1.56635e-07, 76.8666, 10.874, 350.963, 0.747857, 0.655173, 0.589264, 0.0730295
0.69, 0.00060424, 1.00674e-06, 0.00033908, 4.1566e-09, 1724.31, 4155.6, 0.931667, 0.950685, 0.0542193, 55.6415, 1.53808e-07, 75.0228, 10.874, 343.587, 0.741661, 0.647771, 0.589264, 0.0745971
0.68, 0.00058688, 9.884e-07, 0.00032746, 4.0236e-09, 1749.59, 4216.51, 0.93491, 0.953927, 0.0540183, 53.835, 1.51003e-07, 73.2164, 10.874, 336.361, 0.735287, 0.640204, 0.589264, 0.0761996
0.67, 0.00056952, 9.7048e-07, 0.0003157, 3.8948e-09, 1776.41, 4281.14, 0.93836, 0.957377, 0.0538174, 52.0805, 1.48262e-07, 71.4619, 10.874, 329.344, 0.728788, 0.632537, 0.589264, 0.0778233
