Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 2.56964, 1.92867, 0.354742, 4374.29, 2.60728e-07, 4676.86, 195.971, 19491.3, 0.935306, 0.89769, 0.871917, 0.035066
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 2.56964, 1.92985, 0.353956, 4259.31, 2.56439e-07, 4561.88, 195.971, 19031.4, 0.933675, 0.895218, 0.871917, 0.0359135
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 2.56964, 1.93106, 0.35317, 4142.27, 2.51937e-07, 4444.83, 195.971, 18563.2, 0.931929, 0.892575, 0.871917, 0.0368192
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 2.56964, 1.93236, 0.352384, 4030.21, 2.47649e-07, 4332.78, 195.971, 18115, 0.930168, 0.889917, 0.871917, 0.0377302
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 2.56964, 1.9337, 0.351598, 3919.61, 2.43361e-07, 4222.18, 195.971, 17672.6, 0.928339, 0.887162, 0.871917, 0.0386748
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 2.56964, 1.93509, 0.350813, 3813.86, 2.39288e-07, 4116.42, 195.971, 17249.6, 0.926498, 0.884394, 0.871917, 0.0396232
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 2.56964, 1.93658, 0.350028, 3712.84, 2.35428e-07, 4015.41, 195.971, 16845.5, 0.924649, 0.881621, 0.871917, 0.0405736
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 2.56964, 1.93822, 0.349242, 3613.13, 2.31569e-07, 3915.69, 195.971, 16446.7, 0.92273, 0.878751, 0.871917, 0.0415575
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 2.56964, 1.93993, 0.348458, 3514.72, 2.2771e-07, 3817.29, 195.971, 16053, 0.920738, 0.875778, 0.871917, 0.0425766
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 2.56964, 1.9417, 0.347673, 3417.61, 2.23852e-07, 3720.18, 195.971, 15664.6, 0.918669, 0.872697, 0.871917, 0.0436324
