Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 1.97377, 1.71413, 0.176921, 2187.15, 2.60728e-07, 2408.15, 110.563, 5037.43, 0.908225, 0.868357, 0.927275, 0.0407042, 2
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 1.97377, 1.71453, 0.176515, 2129.66, 2.56439e-07, 2350.66, 110.563, 4922.45, 0.905981, 0.865282, 0.927275, 0.041655, 2
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 1.97377, 1.71495, 0.176109, 2071.13, 2.51937e-07, 2292.14, 110.563, 4805.41, 0.90358, 0.862001, 0.927275, 0.0426696, 2
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 1.97377, 1.71541, 0.175704, 2015.11, 2.47649e-07, 2236.12, 110.563, 4693.36, 0.901164, 0.858706, 0.927275, 0.0436883, 2
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 1.97377, 1.71589, 0.175299, 1959.81, 2.43361e-07, 2180.81, 110.563, 4582.75, 0.898658, 0.855296, 0.927275, 0.0447427, 2
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 1.97377, 1.71639, 0.174893, 1906.93, 2.39288e-07, 2127.94, 110.563, 4477, 0.89614, 0.851878, 0.927275, 0.0457997, 2
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 1.97377, 1.71693, 0.174489, 1856.42, 2.35428e-07, 2077.43, 110.563, 4375.98, 0.893615, 0.848459, 0.927275, 0.0468569, 2
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 1.97377, 1.71755, 0.174084, 1806.56, 2.31569e-07, 2027.57, 110.563, 4276.27, 0.890999, 0.844925, 0.927275, 0.0479495, 2
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 1.97377, 1.71819, 0.173679, 1757.36, 2.2771e-07, 1978.37, 110.563, 4177.86, 0.888288, 0.841272, 0.927275, 0.0490789, 2
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 1.97377, 1.71887, 0.173275, 1708.8, 2.23852e-07, 1929.81, 110.563, 4080.75, 0.885477, 0.837495, 0.927275, 0.0502468, 2
0.9, 0.00097048, 1.4406e-06, 0.0005705, 8.0262e-09, 1400.34, 3374.81, 1.97377, 1.7196, 0.172871, 1662.51, 2.20208e-07, 1883.52, 110.563, 3988.17, 0.882662, 0.833723, 0.927275, 0.0514133, 2
