Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 0.932107, 0.901757, 0.0609372, 136.697, 2.60728e-07, 156.078, 12.4097, 673.951, 0.875823, 0.811315, 0.602398, 0.0443688
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 0.932107, 0.902422, 0.0607333, 133.103, 2.56439e-07, 152.485, 12.4097, 659.578, 0.872896, 0.807204, 0.602398, 0.0453356
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 0.932107, 0.903108, 0.0605295, 129.446, 2.51937e-07, 148.827, 12.4097, 644.948, 0.869773, 0.80283, 0.602398, 0.0463641
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 0.932107, 0.90384, 0.0603258, 125.944, 2.47649e-07, 145.326, 12.4097, 630.941, 0.866635, 0.798453, 0.602398, 0.0473933
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 0.932107, 0.904596, 0.0601221, 122.488, 2.43361e-07, 141.869, 12.4097, 617.116, 0.863386, 0.793938, 0.602398, 0.0484551
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 0.932107, 0.905377, 0.0599186, 119.183, 2.39288e-07, 138.564, 12.4097, 603.896, 0.860127, 0.789427, 0.602398, 0.0495158
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 0.932107, 0.90621, 0.0597152, 116.026, 2.35428e-07, 135.408, 12.4097, 591.27, 0.856867, 0.78493, 0.602398, 0.0505732
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 0.932107, 0.907126, 0.0595118, 112.91, 2.31569e-07, 132.292, 12.4097, 578.806, 0.853495, 0.780299, 0.602398, 0.0516622
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 0.932107, 0.908074, 0.0593085, 109.835, 2.2771e-07, 129.216, 12.4097, 566.504, 0.850008, 0.775528, 0.602398, 0.052784
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 0.932107, 0.909056, 0.0591054, 106.8, 2.23852e-07, 126.182, 12.4097, 554.366, 0.846401, 0.770613, 0.602398, 0.0539398
0.9, 0.00097048, 1.4406e-06, 0.0005705, 8.0262e-09, 1400.34, 3374.81, 0.932107, 0.910104, 0.0589023, 103.907, 2.20208e-07, 123.288, 12.4097, 542.793, 0.842797, 0.765722, 0.602398, 0.0550899
0.89, 0.0009534, 1.4168e-06, 0.00056014, 7.7854e-09, 1409.59, 3397.1, 0.932107, 0.911219, 0.0586993, 101.052, 2.16564e-07, 120.434, 12.4097, 531.373, 0.83907, 0.760687, 0.602398, 0.0562738
0.88, 0.00093632, 1.39384e-06, 0.00054992, 7.5516e-09, 1419.17, 3420.21, 0.932107, 0.912379, 0.0584965, 98.2948, 2.13048e-07, 117.676, 12.4097, 520.344, 0.835299, 0.755615, 0.602398, 0.0574666
0.87, 0.0009191, 1.37088e-06, 0.00053942, 7.3234e-09, 1429.33, 3444.69, 0.932107, 0.913614, 0.0582937, 95.5744, 2.09533e-07, 114.956, 12.4097, 509.462, 0.831402, 0.750395, 0.602398, 0.058694
0.86, 0.00090188, 1.3482e-06, 0.00052892, 7.1036e-09, 1439.88, 3470.11, 0.932107, 0.9149, 0.058091, 92.9104, 2.06061e-07, 112.292, 12.4097, 498.806, 0.827402, 0.745062, 0.602398, 0.0599479
0.85, 0.00088466, 1.32636e-06, 0.00051842, 6.888e-09, 1450.84, 3496.52, 0.932107, 0.916239, 0.0578884, 90.34, 2.02717e-07, 109.721, 12.4097, 488.524, 0.823358, 0.739697, 0.602398, 0.0612096
0.84, 0.0008673, 1.30466e-06, 0.00050778, 6.6794e-09, 1462.47, 3524.55, 0.932107, 0.917668, 0.0576859, 87.8142, 1.99396e-07, 107.196, 12.4097, 478.421, 0.819196, 0.7342, 0.602398, 0.0625022
0.83, 0.00084994, 1.28296e-06, 0.000497, 6.475e-09, 1474.57, 3553.72, 0.932107, 0.919158, 0.0574835, 85.3233, 1.96074e-07, 104.705, 12.4097, 468.458, 0.814895, 0.728547, 0.602398, 0.0638316
0.82, 0.00083244, 1.26168e-06, 0.00048608, 6.2776e-09, 1487.43, 3584.72, 0.932107, 0.92075, 0.0572812, 82.895, 1.92817e-07, 102.276, 12.4097, 458.745, 0.8105, 0.722799, 0.602398, 0.0651831
0.81, 0.00081494, 1.24082e-06, 0.0004753, 6.0858e-09, 1500.85, 3617.04, 0.932107, 0.922414, 0.0570789, 80.5282, 1.89624e-07, 99.9096, 12.4097, 449.277, 0.806011, 0.716958, 0.602398, 0.0665566
