Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
1, 0.00113596, 1.7052e-06, 0.00066822, 1.08374e-08, 1329.27, 3203.55, 2.64181, 1.92867, 0.361844, 4374.29, 2.60728e-07, 4676.86, 232.833, 19638.8, 0.935306, 0.890951, 0.880653, 0.0417633, 4
0.99, 0.00111972, 1.6772e-06, 0.00065884, 1.05196e-08, 1335.07, 3217.51, 2.64181, 1.92985, 0.361058, 4259.31, 2.56439e-07, 4561.88, 232.833, 19178.8, 0.933675, 0.888336, 0.880653, 0.0427648, 4
0.98, 0.00110348, 1.6478e-06, 0.00064946, 1.02102e-08, 1341.03, 3231.88, 2.64181, 1.93106, 0.360272, 4142.27, 2.51937e-07, 4444.83, 232.833, 18710.7, 0.931929, 0.885542, 0.880653, 0.0438349, 4
0.97, 0.0010871, 1.6198e-06, 0.0006398, 9.9092e-09, 1347.35, 3247.1, 2.64181, 1.93236, 0.359486, 4030.21, 2.47649e-07, 4332.78, 232.833, 18262.4, 0.930168, 0.882732, 0.880653, 0.0449107, 4
0.96, 0.00107072, 1.5918e-06, 0.00063014, 9.618e-09, 1353.86, 3262.79, 2.64181, 1.9337, 0.3587, 3919.61, 2.43361e-07, 4222.18, 232.833, 17820, 0.928339, 0.879821, 0.880653, 0.0460257, 4
0.95, 0.00105434, 1.5652e-06, 0.00062048, 9.3338e-09, 1360.57, 3278.97, 2.64181, 1.93509, 0.357915, 3813.86, 2.39288e-07, 4116.42, 232.833, 17397, 0.926498, 0.876899, 0.880653, 0.0471449, 4
0.94, 0.00103782, 1.54e-06, 0.00061054, 9.0566e-09, 1367.67, 3296.1, 2.64181, 1.93658, 0.35713, 3712.84, 2.35428e-07, 4015.41, 232.833, 16993, 0.924649, 0.873972, 0.880653, 0.0482659, 4
0.93, 0.00102102, 1.5148e-06, 0.00060074, 8.7878e-09, 1375.39, 3314.69, 2.64181, 1.93822, 0.356345, 3613.13, 2.31569e-07, 3915.69, 232.833, 16594.1, 0.92273, 0.870943, 0.880653, 0.049426, 4
0.92, 0.00100422, 1.4896e-06, 0.00059066, 8.5274e-09, 1383.36, 3333.9, 2.64181, 1.93993, 0.35556, 3514.72, 2.2771e-07, 3817.29, 232.833, 16200.5, 0.920738, 0.867807, 0.880653, 0.0506269, 4
0.91, 0.00098742, 1.4644e-06, 0.00058058, 8.2726e-09, 1391.61, 3353.77, 2.64181, 1.9417, 0.354775, 3417.61, 2.23852e-07, 3720.18, 232.833, 15812, 0.918669, 0.864559, 0.880653, 0.0518706, 4
